,id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
6744,6744,0,temporal integrity constraints with indeterminacy,"w cowley , d plexousakis",vldb,2000,temporal conditions and integrity constraints in active databases,"ap sistla , o wolfson",proc . of the 1995 sigmod international conference on the,
6745,6745,1,incremental organization for data recording and warehousing,"h jagadish , p narayan , s seshadri , s sudarshan , r kanneganti",vldb,1997,incremental organization for data recording and warehousing,"pps narayan , s seshadri , s sudarshan , hv jagadish ,",,
6746,6746,0,energy and rate based mac protocol for wireless sensor networks,"r kannan , r kalidindi , s iyengar , v kumar",sigmod record,2003,an adaptive energy-efficient mac protocol for wireless sensor networks,"t van dam , k langendoen","proceedings of the first international conference on & hellip ; ,",2003.0
6747,6747,0,fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",vldb,1997,incremental maintenance of aggregate and outerjoin,"h gupta , is mumick","technical report , stanford university ,",
6748,6748,0,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz",vldb,1998,using unknowns to prevent discovery of association rules,"y saygin , vs verykios , c clifton","acm sigmod record ,",2001.0
6749,6749,1,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"k bіhm , k aberer , e neuhold , x yang",vldb j.,1997,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"k bohm , k aberer , ej neuhold , x yang","vldb journal ,",1997.0
6750,6750,0,guest editor s introduction,,,2003,guest editor s introduction,n verloop,"international journal of educational research ,",2001.0
6751,6751,0,the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,the x-tree : an index structure for high-dimensional data . 22 ndint,"sd berchtold , d keim , hp kriegel","conf . on very large data bases ,",
6752,6752,1,"the five-minute rule ten years later , and other computer storage rules of thumb","j gray , g graefe",sigmod record,1997,"the five-minute rule ten years later , and other computer storage rules of thumb","g graefe , j gray",,
6753,6753,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,the legion resource management system,"sj chapin , d katramatos , j karpovich , as grimshaw","lecture notes in computer science ,",1999.0
6754,6754,0,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"n katayama , s satoh",sigmod conference,1997,the sr-tree : an index structure for spatial searching,"n katayama , s satoh",acm sigmod international conference on management of,
6755,6755,1,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,relational data sharing in peer-based data management systems,b ooi,"sigmod record ,",2003.0
6756,6756,0,groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,query processing over object views of relational data,"g fahl , t risch","the vldb journal the international journal on very large & hellip ; ,",1997.0
6757,6757,0,pc database systems - present and future,p bernstein,vldb,1994,"eevl : past , present and future","r macleod , l kerr","electronic library ,",1997.0
6758,6758,0,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan",vldb,1999,minimization of tree patterns queries,"s flesca , f furfaro , e masciari","proceedings of the 29th vldb conf ,",
6759,6759,0,guest editor s introduction,,,2002,guest editor s introduction : artificial neural systems,bd shriver,"computer ,",1988.0
6760,6760,0,wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002,one-pass wavelet synopses for maximum-error metrics,"p karras , n mamoulis","proceedings of the 31st international conference on very & hellip ; ,",2005.0
6761,6761,0,anatomy of a native xml base management system,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann",vldb j.,2002,building knowledge base management systems,"j my1opou , vc os , d plexousakis , a shrufi , t","technical report , the vldb journal ( to appear ) ,",
6762,6762,0,editor s notes,m franklin,sigmod record,1999,editor s notes,"dj rog , d fournier","new directions for program evaluation ,",
6763,6763,0,anatomy of a native xml base management system,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann",vldb j.,2002,native xml database management systems : the survey,"k chatzinas , h meng",,
6764,6764,0,design and implementation of a genetic-based algorithm for data mining,s choenni,vldb,2000,on the design and quantification of privacy preserving data mining algorithms,"d agrawal , cc aggarwal",,
6765,6765,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,query evaluation in deductive and object-oriented databases .,z xie,,
6766,6766,1,a foundation for representing and quering moving objects,"r gќting , m bіhlen , m erwig , c jensen , n lorentzos , m schneider , m vazirgiannis",acm trans . database syst .,2000,a foundation for representing and querying moving objects,"mh bã ¶ hlen , rh gã 1/4 ting , m erwig , cs jensen , na",acm transactions on database systems 25 : 1,
6767,6767,0,a taxonomy for secure object-oriented databases,"m olivier , s solms",acm trans . database syst .,1994,"role-based security , object-oriented database & separation of duties","m nyanchama , s osborn","acm sigmod record ,",
6768,6768,0,the sr-tree : an index structure for high-dimensional nearest neighbor queries,"n katayama , s satoh",sigmod conference,1997,the hybrid tree : an index structure for high dimensional feature spaces,"k chakrabarti , s mehrotra",,
6769,6769,0,guest editorial,,,2001,guest editorial,"p atzeni , ao mendelzon","the vldb journal the international journal on very large & hellip ; ,",2000.0
6770,6770,0,staggered striping in multimedia information systems,"s berson , s ghandeharizadeh , r muntz , x ju",sigmod conference,1994,olap solutions : building multidimensional information systems,e thomsenâ ? ¦,john wiley &,
6771,6771,0,a performance evaluation of oid mapping techniques,"a eickler , c gerlhof , d kossmann",vldb,1995,algorithm and performance evaluation of adaptive multidimensional clustering technique,"s fushimi , m kitsuregawa , m nakayama , h tanaka , t","proceedings of the 1985 acm sigmod international conference & hellip ; ,",1985.0
6772,6772,0,an efficient method for checking object-oriented database schema correctness,"a formica , h grіger , m missikoff",acm trans . database syst .,1998,birch : an efficient method for very large databases,"t zhang , r ramakrishnman , m linvy",acm,
6773,6773,0,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994,xsb as an efficient deductive database system,"k sagonas , t swift , ds warren","acm sigmod symposium on management of data ,",
6774,6774,1,managing a db2 parallel edition database,g fecteau,vldb,1995,managing a db2 parallel edition database,"g fe & au , n york , c ontario",,
6775,6775,0,high availability of commercial applications,k ivinskis,sigmod conference,1995,performance and scalability of ejb applications,"e cecchet , j marguerite , w zwaenepoel",,
6776,6776,0,information director s message,,,2000,head/director s message,rdae status,,
6777,6777,0,guest editorial,,,2002,guest editor s introduction,sa goldman,"machine learning ,",1995.0
6778,6778,0,editorial,,,2001,guest editorial,m jarke,"the vldb journal the international journal on very large & hellip ; ,",1998.0
6779,6779,1,the challenge of process data warehousing,"m jarke , t list , j kіller",vldb,2000,the challenge of process warehousing,"m jarke , t list , j koller","proceedings of the 26th international conference on very & hellip ; ,",
6780,6780,0,the algres testbed of chimera : an active object-oriented database system,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,1995,naos-efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen","proceedings of the 20th international conference on very & hellip ; ,",1994.0
6781,6781,0,grid data management systems & services,,,2003,operational management of telematics systems and services,bl de goede,,
6782,6782,0,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994,xsb as a deductive database,"k sagonas , t swift , ds warren","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
6783,6783,1,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995,view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",,
6784,6784,0,an annotated bibliography on real-time database systems,ж ulusoy,sigmod record,1995,"priority-based scheduling in real-time database systems ,","sh son , ch chang","proceedings of the 15th vldb conference ,",
6785,6785,0,management of multidimensional discrete data,p baumann,vldb j.,1994,the rasdaman approach to multidimensional database management,"p baumann , p furtado , r ritsch , n widmann",,
6786,6786,0,quasi-cubes : exploiting approximations in multidimensional databases,"d barbarс , m sullivan",sigmod record,1997,modeling multidimensional databases : [ research report ],"r agrawal , a gupta , s sarawagi","ibm almaden research center , san jose , california ,",
6787,6787,1,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","r agrawal , k lin , h sawhney , k shim",vldb,1995,"fast similarity search in presence of noise , scaling , and translation in time-series database . in :","r agrawal , ki lin , ss harpreet",,1995.0
6788,6788,0,changing the rules : transformations for rule-based optimizers,"m cherniack , s zdonik",sigmod conference,1998,web application transformations based on rewrite rules,"f ricca , p tonella","information & software technology ,",2002.0
6789,6789,1,mining multi-dimensional constrained gradients in data cubes,"g dong , j han , j lam , j pei , k wang",vldb,2001,mining multi-dimensional constrained gradients in data cubes,"d guozhu , h jiawei , j lam , p jean , w ke","vldb ,",2001.0
6790,6790,0,active xml : peer-to-peer data and web services integration,"s abiteboul , o benjelloun , i manolescu , t milo , r weber",vldb,2002,logical foundations of peer-to-peer data integration,"d calvanese , g de giacomo , m lenzerini , r rosati","proc . of the 23rd acm sigact sigmod sigart sym . on & hellip ; ,",2004.0
6791,6791,0,maintenance of data cubes and summary tables in a warehouse,"i mumick , d quass , b mumick",sigmod conference,1997,maintenance of cube automatic summary tables,"w lehner , r sidle , h pirahesh , r cochrane","sigmod record ,",2000.0
6792,6792,1,automatic generation of production rules for integrity maintenance,"s ceri , p fraternali , s paraboschi , l tanca",acm trans . database syst .,1994,automatic generation of production rules for integrity maintenance,"s ceri , p fraternali , s paraboschi , l tanca","acm transactions on database systems ,",1994.0
6793,6793,0,report on the 4th international conference on mobile data management,,,2003,report on fqas 2002 : fifth international conference on flexible query answering systems,"a motro , t andreasen","sigmod record ,",2003.0
6794,6794,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,metu object-oriented database system,a dogacâ ? ¦,"demo description , in the proc . acm sigmod intl. conf . on & hellip ; ,",
6795,6795,0,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",
6796,6796,0,supporting top-k join queries in relational databases,"i ilyas , w aref , a elmagarmid",vldb,2003,formal query languages for secure relational databases,"k smith , x qian","acm transactions on database systems ,",1994.0
6797,6797,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,efficient garbage collection for large object-oriented databases,bh liskov,,1996.0
6798,6798,0,integration of spatial join algorithms for processing multiple inputs,"n mamoulis , d papadias",sigmod conference,1999,a performance evaluation of four join algorithms in a shared-nothing multiprocessor environment,"da schneider , dj dewitt","proceedings of the acm sigmod conference , portland , or , june ,",
6799,6799,0,energy efficient indexing on air,"t imielinski , s viswanathan , b badrinath",sigmod conference,1994,energy-efficient issue logic,"d folegnani , a gonzalez","proc . of the 28th annual intl. symp . on comp . architecture ,",
6800,6800,0,optimizing multi-feature queries for image databases,"u gќntzer , w balke , w kieпling",vldb,2000,optimizing queries across diverse data sources,"lm haas , d kossmann , el wimmers , j yang","vldb ,",1997.0
6801,6801,0,energy efficient indexing on air,"t imielinski , s viswanathan , b badrinath",sigmod conference,1994,energy efficient filtering of data on the air,"t imielinski , s viswanathan , br badrinath",proc . of the acm sigmod conference ( may,
6802,6802,0,xtract : a system for extracting document type descriptors from xml documents,"m garofalakis , a gionis , r rastogi , s seshadri , k shim",sigmod conference,2000,xtract : learning document type descriptors from xml document collections,"m garofalakis , a gionis , r rastogi , s seshadri , k","data mining and knowledge discovery ,",2003.0
6803,6803,0,dynamic information visualization,y ioannidis,sigmod record,1996,dynamic html in action,"em schurman , wj pardi",,1999.0
6804,6804,1,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining fuzzy association rules in databases .,acms anthology,"sigmod record ,",1998.0
6805,6805,0,an overview of the emerging third-generation sql standard ( tutorial ),,,1995,an overview of the iso/vdm-sl standard,"n plat , pg larsen","acm sigplan notices ,",1992.0
6806,6806,0,editorial,,,2001,editorial directons,w kim,"acm transactions on database systems ( tods ) ,",1995.0
6807,6807,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,fuzzy queries in multimedia database systems,r fagin,,
6808,6808,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",
6809,6809,0,aurora : a new model and architecture for data stream management,"d abadi , d carney , u чetintemel , m cherniack , c convey , s lee , m stonebraker , n tatbul , s zdonik",vldb j.,2003,architectures and algorithms for internet-scale ( p2p ) data management,jm hellerstein,"proceedings of the international conference on very large & hellip ; ,",2004.0
6810,6810,0,dimensionality reduction for similarity searching in dynamic databases,"k kanth , d agrawal , a singh",sigmod conference,1998,similarity searching in medical image databases,"egm petrakis , c faloutsos",,
6811,6811,0,walrus : a similarity retrieval algorithm for image databases,"a natsev , r rastogi , k shim",sigmod conference,1999,cure : an efficient algorithm for large databases,"s guha , r rastogi , k shim","proc . acm sigmod ,",
6812,6812,0,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,secure transaction processing in real-time database systems,"b george , j haritsa","proc . of acm sigmod conf , may ,",
6813,6813,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,beyond market baskets : generalizing association rules to correlations,"s brin , c silverstein",,1996.0
6814,6814,0,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994,retrieval of pictures using a similarity based approach employing indices on spatial relationships,"ap sistla , c yu",,
6815,6815,0,a case-based approach to information integration,"m panti , l spalazzi , a giretti",vldb,2000,ontology-based approach for application integration,"s izza , l vincent , p burlat",,
6816,6816,0,guest editorial,,,2003,editorial,mt ã?zsu,"the vldb journal the international journal on very large & hellip ; ,",2005.0
6817,6817,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,mining generalized association rules . in : proc of 21th int  l conf very large data bases,"r srikant , r agrawal",,1995.0
6818,6818,1,parametric query optimization,"y ioannidis , r ng , k shim , t sellis",vldb j.,1997,parametric query optimization,"ye ioannidis , rt ng , k shim , tk sellis","the vldb journal the international journal on very large & hellip ; ,",1997.0
6819,6819,0,algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,designing view maintenance algorithm in data warehousing environment,"mk mohania , s konomi , y kambayashi , mw vincent","& hellip ; of the 9th international conference on management of data ( & hellip ; ,",
6820,6820,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,fast algorithmsforminingassociation rules,ra ramakrishnansrikant,"proceedings of the 20th vldb conference ,",
6821,6821,0,a performance study of transitive closure algorithms,"s dar , r ramakrishnan",sigmod conference,1994,performance of b-tree concurrency algorithms,"v srinivasan , mj carey","sigmod conference ,",
6822,6822,0,wavecluster : a wavelet based clustering approach for spatial data in very large databases,"g sheikholeslami , s chatterjee , a zhang",vldb j.,2000,birch : anecient dataclusteringmethod forvery large databases,"t zhang , r ramakrishnan , m livny","proceedings of the acm sigmod international conference on & hellip ; ,",
6823,6823,1,accelerating xpath location steps,t grust,sigmod conference,2002,accelerating xpath location steps in any rdbms,"t grust , m van keulen , j teubner","acm tods ,",
6824,6824,0,minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy",vldb j.,2001,answering queries using views : a survey,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2001.0
6825,6825,0,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,fuzzy data mining : discovery of fuzzy generalized association rules,"g chen , q wei , ee kerre","studies in fuzziness and soft computing ,",2000.0
6826,6826,0,reminiscences on influential papers,,,2003,reminiscences on influential papers,hgm stanlbrd,"sigmod record ,",1998.0
6827,6827,0,building knowledge base management systems,"j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou",vldb j.,1996,knowledge management,p loshin,"computerworld ,",
6828,6828,0,efficient user-adaptable similarity search in large multimedia databases,"t seidl , h kriegel",vldb,1997,arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",
6829,6829,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,version management of composite objects in cad databases,"r ahmed , sb navathe",,
6830,6830,1,d ( k ) - index : an adaptive structural summary for graph-structured data,"c qun , a lim , k ong",sigmod conference,2003,al. d ( k ) - index : an adaptive structural summares for graph-based data,c qun,,2003.0
6831,6831,1,asset : a system for supporting extended transactions,"a biliris , s dar , n gehani , h jagadish , k ramamritham",sigmod conference,1994,asset : a system for supporting extended transactions,"a billiris , d gehani , h jagadish , k ramamritham","proceedings of sigmod ,",
6832,6832,1,concept based design of data warehouses : the dwq demonstrators,"m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou",sigmod conference,2000,concept based design of data warehouses : the dwq demonstrators,"m jarke , c quix , d calvanese , m lenzerini , e","sigmod conference ,",2000.0
6833,6833,0,online query processing,,,2001,informix under control : online query processing,"jm hellerstein , r avnur , v raman","data mining and knowledge discovery ,",2000.0
6834,6834,0,infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997,storing semi-structured data using stored,"a deutsch , m fernandez , d suciu","proc. , acm sigmod ,",
6835,6835,0,guest editorial,,,2003,guest editorial wireless ad hoc networks,"zj haas , m gerla , db johnson , ce perkins , mb","selected areas in communications , ieee journal on ,",1999.0
6836,6836,0,low-cost compensation-based query processing,"и grјvlen , s hvasshovd , и torbjјrnsen",vldb,1998,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",
6837,6837,0,understanding the global semantics of referential actions using logic rules,"w may , b ludфscher",acm trans . database syst .,2002,understanding the semantics of sensor data,m mani,"acm sigmod record ,",2003.0
6838,6838,0,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,approaches to deductive object-oriented databases,"aaa fernandes , nw paton , mh williams , a bowles",,
6839,6839,0,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),,,2003,"report on the object-oriented database workshop ,","j joseph , s thatte , c thompson , d wells","acm sigmod record ,",
6840,6840,0,closest pair queries in spatial databases,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",sigmod conference,2000,research issues in spatial databases,o guenther,"sigmod record ,",1990.0
6841,6841,0,integrating symbolic images into a multimedia database system using classification and abstraction approaches,"a soffer , h samet",vldb j.,1998,two approaches for integrating symbolic images into a multimedia database system : a comparative,"a soffer , h samet","vldb journal ,",
6842,6842,0,multimediaminer : a system prototype for multimedia data mining,"o zaяane , j han , z li , s chee , j chiang",sigmod conference,1998,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
6843,6843,1,catching the boat with strudel : experiences with a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1998,catc hingthe boat with strudel : experiences with aw eb-sitemanagement system,"m fernandez , d florescu , j kang , a levy",proceedings of,
6844,6844,0,efficient algorithms for minimizing tree pattern queries,p ramanan,sigmod conference,2002,efficientalgorithmsfor processing xpath queries,"g gottlob , c koch , r pichler",proc . of,
6845,6845,0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,relational languages for metadata integration,"cm wyss , e robertson","acm transactions on database systems ,",2005.0
6846,6846,0,vxmlr : a visual xml-relational database system,"a zhou , h lu , s zheng , y liang , l zhang , w ji , z tian",vldb,2001,relob : a relational storage system,m missikoff,"proc . of international conference on data base management & hellip ; ,",
6847,6847,0,change detection in hierarchically structured information,"s chawathe , a rajaraman , h garcia-molina , j widom",sigmod conference,1996,duplicate detection in information dissemination,"t yan , h garcia-molina","proceedings of very large databases ( vldbâ ?? 95 ) conference , & hellip ; ,",
6848,6848,0,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch",vldb,2001,sddl : a system for distributed databases,jb rothnieâ ? ¦,"acm trans . database syst ,",
6849,6849,0,managing intervals efficiently in object-relational databases,"h kriegel , m pіtke , t seidl",vldb,2000,query unnesting in object-oriented databases,l fegaras,,
6850,6850,1,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,dewitt . dj partition based spatail-merge join,jm patel,"& hellip ; international conference on management of data . proceedings ,",
6851,6851,0,guest editorial,,,2003,editorial,"g cosier , p hughes","bt technology journal ,",2001.0
6852,6852,0,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994,efficient garbage collection for large object-oriented databases,bh liskov,,1996.0
6853,6853,1,a content-based multimedia server for massively parallel architectures,"w oconnell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmod conference,1996,prospector : a content-based multimedia server for massively parallel architectures,"g au , a biliris , h chen , s choo , k ganapathy , g","sigmod record ,",1996.0
6854,6854,1,hyperqueries : dynamic distributed query processing on the internet,"a kemper , c wiesner",vldb,2001,hyperqueries : dynamic distributed query processing on the internet,"a kemper , c wiesner","proceedings of the international conference on very large & hellip ; ,",2001.0
6855,6855,0,the role of integrity constraints in database interoperation,"m vermeer , p apers",vldb,1996,on rules and integrity constraints in database systems,"tw ling , pk teo","information and software technology ,",1992.0
6856,6856,0,foundations of statistical natural language processing - book review,,,2002,natural language processing,tc rindflesch,,
6857,6857,0,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,proactive and reactive multi-dimensional histogram maintenance for selectivity estimation,"z he , bs lee , xs wang",,
6858,6858,0,sampling large databases for association rules,h toivonen,vldb,1996,fastalgorithmsformining association rules,rar srikant,"proc . of the vldb conference , santiago , chile , september ,",
6859,6859,1,performance evaluation of a new distributed deadlock detection algorithm,"c yeung , s hung , k lam",sigmod record,1994,performance evaluation of a new distributed deadlock detection algorithm,"c yeung , s hung , k lam","sigmod record ,",1994.0
6860,6860,0,information finding in a digital library : the stanford perspective,"t yan , h garcia-molina",sigmod record,1995,information lifecycle management : the emc perspective,"d reiner , g press , m lenaghan , d barta , r urmston","data engineering , 2004 . proceedings . 20th international",
6861,6861,0,memory management during run generation in external sorting,"p larson , g graefe",sigmod conference,1998,"larson , and g. graefe . memory management during run generation in external sorting",p ã ?,"proceedings of the 1998 acm sigmod conference ,",
6862,6862,0,editorial,,,2001,editorial,"j regnault , r temple","bt technology journal ,",2001.0
6863,6863,1,combinatorial pattern discovery for scientific data : some preliminary results,"j wang , g chirn , t marr , b shapiro , d shasha , k zhang",sigmod conference,1994,"b. shapiro , d. shasha , and k. zhang , combinatorial pattern discovery for scientific data : some","lw jt , gw chirn , tg marr","proc . sigmodâ ?? 94 ,",
6864,6864,0,applying database visualization to the world wide web,"m hasan , a mendelzon , d vista",sigmod record,1996,accessing relational databases form the world wide web,"t nguyen , v srinivasan","proc . acm sigmod conf . on the management of data , montreal , & hellip ; ,",
6865,6865,0,information rules,d stirling,sigmod record,2003,information theory and anonymity,"c daz , j claessens , s seys , b preneel",,
6866,6866,0,"data management in ecommerce : the good , the bad , and the ugly",,,2000,"set containment joins : the good , the bad and the ugly","k ramasamy , jm patel","vldb ,",2000.0
6867,6867,1,high-concurrency locking in r-trees,"m kornacker , d banks",vldb,1995,high-concurrency in r-trees,"m kornacker , d banks","proc . 21th international conference on vldb ,",
6868,6868,0,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,"data management in ecommerce : the good , the bad , and the ugly",a gal,,
6869,6869,1,guest editorial : databases and the web,,,2000,guest editorial,"p atzeni , ao mendelzon","the vldb journal the international journal on very large & hellip ; ,",2000.0
6870,6870,0,storing and querying ordered xml using a relational database system,"i tatarinov , s viglas , k beyer , j shanmugasundaram , e shekita , c zhang",sigmod conference,2002,the notions of consistency and predicate locks in a relational database system,"kp eswaran , jn gray , ra lorie , il traiger","comm . acm ,",
6871,6871,1,interviso : dealing with the complexity of federated database access,"m templeton , h henley , e maros , d buer",vldb j.,1995,interviso : dealing with the complexity of federated database access,"m templeton , h henley , e maros , dj van buer","the vldb journal the international journal on very large & hellip ; ,",1995.0
6872,6872,0,dblearn : a system prototype for knowledge discovery in relational databases,"j han , y fu , y huang , y cai , n cercone",sigmod conference,1994,dmql : a data mining query language for relational databases,"j han , y fu , w wang , k koperski , o zaiane",,
6873,6873,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,database management systems on a multi-computer computer,m sinutko,"sigmod record ,",1977.0
6874,6874,0,temporal database system implementations,m bіhlen,sigmod record,1995,programming constructs for database system implementation in exodus,"je richardson , mj carey","proceedings of the 1987 acm sigmod international conference & hellip ; ,",1987.0
6875,6875,0,the impact of technology on commercial transaction processing,e cobb,vldb j.,1997,principles of transaction processing,pa bernstein,,
6876,6876,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,insight into object-oriented databases,s khoshafian,"information and software technology ,",1990.0
6877,6877,0,caching strategies for data-intensive web sites,"k yagoub , d florescu , v issarny , p valduriez",vldb,2000,roles of agents in data-intensive web sites,"hbengaa ali , ben ammar",,
6878,6878,0,guest editor s introduction,,,1998,guest editor s introduction : hardware-software codesign,w wolf,"ieee design & test ,",1993.0
6879,6879,0,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994,the tv-tree : an index structure for high-dimensional data,"ki lin , hv jagadish , c faloutsos","the vldb journal the international journal on very large & hellip ; ,",1994.0
6880,6880,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the international conference on very large & hellip ; ,",1996.0
6881,6881,0,guest editorial,,,2002,guest editorial,"j mai , e marani , s hakomori","the histochemical journal ,",1992.0
6882,6882,0,a taxonomy for secure object-oriented databases,"m olivier , s solms",acm trans . database syst .,1994,a new perspective on rule support for object-oriented databases,"ea cm941 , l maugis , s chakravarthy","proceedings , international conference on management of",
6883,6883,1,towards on-line analytical mining in large databases,j han,sigmod record,1998,towards on-line analytical mining in large databases,h jiawei,"acm sigmod record ,",
6884,6884,0,efficient algorithms for mining outliers from large data sets,"s ramaswamy , r rastogi , k shim",sigmod conference,2000,"rastogir. , cure a. , an efficient clustering algorithm for large data bases",s guha,"& hellip ; 1998 , acm sigmod international conference on management of",
6885,6885,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,querying object-oriented databases,m kifer,,
6886,6886,0,dwms : data warehouse management system,n mohan,vldb,1996,ã cents â ? ¬ å?dynamat : a dynamic view management system for data warehousesã cents â ? ¬ â ?,"y kotidis , n roussopoulos",proc . of the acm sigmod,
6887,6887,1,spatial joins using r-trees : breadth-first traversal with global optimizations,"y huang , n jing , e rundensteiner",vldb,1997,spatial joins using r-trees : breadth-first traversal with global optimizations,"h yun-wu , j ning , ea rundensteiner","proc international conference on very large data bases , & hellip ; ,",
6888,6888,0,efficient incremental garbage collection for client-server object database systems,"l amsaleg , m franklin , o gruber",vldb,1995,open object database management systems,ja blakeley,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
6889,6889,0,editor s notes,l liu,sigmod record,2002,editor s notes,"dj rog , d fournier","new directions for program evaluation ,",
6890,6890,0,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,temporal databases,j chomicki,,
6891,6891,0,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003,delaunay : a database visualization system,"if cruz , m averbuch , wt lucas , m radzyminski , k",,
6892,6892,0,guest editor s introduction,,,1998,guest editorial,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",2002.0
6893,6893,0,thщmis : a database programming language handling integrity constraints,"v benzaken , a doucet",vldb j.,1995,on rules and integrity constraints in database systems,"tw ling , pk teo","information and software technology ,",1992.0
